T,player,seed,map_path,run_path,score,sec,returncode
2016,2,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=2#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,0,7.905,0
2016,3,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=3#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,2,7.817,0
2016,4,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=4#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,1,7.94,0
2016,5,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=5#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,102,8.545,0
2016,6,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=6#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,0,8.508,0
2016,7,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=7#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,100,9.398,0
2016,8,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=8#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,0,9.003,0
2016,9,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=9#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,1,8.084,0
2016,10,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=10#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,100,8.705,0
4032,1,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=4032#player=1#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,1,15.36,0
4032,2,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=4032#player=2#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,1,12.14,0
4032,3,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=4032#player=3#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,3,12.11,0
4032,4,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=4032#player=4#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,1,12.48,0
4032,5,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=4032#player=5#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,101,13.91,0
4032,6,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=4032#player=6#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,0,13.34,0
4032,7,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=4032#player=7#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,100,15.15,0
